交易ID,E_gen (kWh),E_cons (kWh),时间戳偏移(s),有效性
1,662.3,649.7,-8.9,有效
2,698.6,652.5,6.8,有效
3,577.2,584.5,9.2,有效
4,635.0,629.1,-0.3,有效
5,659.8,671.3,6.5,有效
6,437.1,414.9,-9.5,有效
7,271.5,275.8,-0.5,有效
8,689.5,693.8,4.3,有效
9,753.3,723.8,-1.1,有效
10,488.7,523.9,-7.2,有效
11,238.9,234.7,-4.9,有效
12,311.0,262.2,2.4,有效
13,490.6,526.9,-2.8,有效
14,489.1,459.9,5.9,有效
15,642.2,639.6,-7.0,有效
16,545.7,538.7,1.6,有效
17,554.9,599.9,1.8,有效
18,752.1,707.0,-0.5,有效
19,414.0,372.5,0.3,有效
20,699.5,709.3,-2.6,有效
21,955.0,953.6,-2.8,有效
22,255.5,245.7,-5.4,有效
23,613.1,620.7,-0.5,有效
24,270.3,297.4,9.8,有效
25,543.8,503.7,-6.0,有效
26,965.6,981.3,7.5,有效
27,749.8,772.8,-7.6,有效
28,504.4,532.7,-1.3,有效
29,616.3,618.3,7.1,有效
30,561.2,546.3,6.1,有效
31,588.3,560.3,8.7,有效
32,467.6,453.5,-3.9,有效
33,643.9,632.2,-8.4,有效
34,861.1,851.4,1.6,有效
35,614.8,615.1,1.9,有效
36,469.0,421.2,9.6,有效
37,549.3,499.5,-2.1,有效
38,957.1,987.2,9.4,有效
39,297.6,272.4,-5.6,有效
40,998.0,1000.0,-0.7,有效
41,610.9,607.6,3.6,有效
42,871.9,843.9,3.8,有效
43,536.3,552.9,7.5,有效
44,766.5,812.5,4.3,有效
45,275.4,295.1,-8.8,有效
46,732.9,753.7,3.8,有效
47,422.7,435.7,-3.1,有效
48,414.5,405.9,4.6,有效
49,397.8,387.9,7.5,有效
50,310.0,344.5,-8.1,有效
51,325.0,337.3,4.7,有效
52,271.9,273.8,-9.9,有效
53,905.5,923.9,7.8,有效
54,176.5,159.8,6.7,有效
55,650.2,665.7,-4.3,有效
56,344.7,310.8,9.9,有效
57,595.4,558.2,-7.1,有效
58,403.6,368.3,-8.8,有效
59,452.6,466.7,4.7,有效
60,371.9,322.7,1.2,有效
61,851.7,869.2,7.5,有效
62,615.1,634.0,4.3,有效
63,569.0,560.5,4.2,有效
64,536.8,526.5,7.6,有效
65,566.9,592.5,6.4,有效
66,574.7,552.8,2.5,有效
67,541.7,532.6,-8.4,有效
68,234.3,216.0,-8.0,有效
69,566.5,607.5,2.8,有效
70,563.4,518.7,2.1,有效
71,401.0,354.8,-8.0,有效
72,341.4,328.4,-2.7,有效
73,901.1,927.1,2.2,有效
74,560.1,561.3,-6.3,有效
75,337.8,298.5,3.8,有效
76,440.5,460.9,7.3,有效
77,249.8,244.4,-6.4,有效
78,643.0,605.7,-3.0,有效
79,209.0,228.7,-2.0,有效
80,255.0,262.0,0.2,有效
81,413.8,444.1,3.4,有效
82,437.7,478.2,-0.9,有效
83,586.8,572.2,-1.2,有效
84,626.7,585.2,-9.6,有效
85,388.0,396.8,-7.8,有效
86,618.9,594.7,8.6,有效
87,648.9,660.0,-8.6,有效
88,517.2,556.2,-4.3,有效
89,529.5,534.8,-5.4,有效
90,338.1,344.4,-2.1,有效
91,421.0,409.5,-5.6,有效
92,572.8,620.4,-9.7,有效
93,675.1,709.5,8.1,有效
94,668.3,635.2,8.1,有效
95,719.4,702.8,-5.6,有效
96,291.9,257.2,-3.9,有效
97,829.6,858.6,-5.1,有效
98,594.6,591.3,-9.2,有效
99,348.7,332.5,9.2,有效
100,946.8,936.7,-4.7,有效
101,722.2,764.2,-4.0,有效
102,507.7,518.0,5.4,有效
103,368.2,363.4,-5.3,有效
104,375.9,336.3,-1.0,有效
105,368.4,380.4,-3.5,有效
106,293.3,317.7,-9.3,有效
107,480.1,475.3,-5.6,有效
108,547.0,583.1,5.0,有效
109,637.3,675.7,-0.0,有效
110,505.8,485.2,6.9,有效
111,269.7,260.9,8.7,有效
112,722.1,733.7,6.9,有效
113,441.1,426.1,-9.3,有效
114,442.7,491.1,6.0,有效
115,367.6,385.9,-4.4,有效
116,729.0,712.8,-0.3,有效
117,656.0,700.3,7.8,有效
118,695.5,736.9,3.4,有效
119,753.8,727.6,8.7,有效
120,318.4,309.5,-3.4,有效
121,432.5,441.6,-4.4,有效
122,639.8,625.8,9.5,有效
123,607.7,619.1,7.1,有效
124,503.1,534.2,2.3,有效
125,442.4,401.5,-9.5,有效
126,889.9,917.5,-4.8,有效
127,601.7,583.3,-7.6,有效
128,405.3,402.9,-1.4,有效
129,119.9,140.2,6.0,有效
130,74.9,117.1,-4.3,有效
131,704.2,689.6,1.9,有效
132,493.5,512.9,-10.0,有效
133,296.7,247.2,5.5,有效
134,287.5,282.5,-5.4,有效
135,903.4,913.0,-5.2,有效
136,354.7,340.7,-4.1,有效
137,871.1,877.6,-4.0,有效
138,303.8,314.2,7.9,有效
139,378.1,352.3,-7.5,有效
140,535.6,552.4,-8.4,有效
141,482.1,472.1,-7.6,有效
142,406.3,371.0,4.1,有效
143,746.1,789.4,-5.6,有效
144,412.4,387.3,9.6,有效
145,438.3,461.0,-4.1,有效
146,457.1,454.2,-4.9,有效
147,242.4,265.8,8.2,有效
148,859.8,847.9,9.1,有效
149,236.5,234.9,-8.5,有效
150,630.4,644.5,6.1,有效
151,321.0,343.5,-3.6,有效
152,779.0,746.3,1.0,有效
153,465.9,435.5,-9.8,有效
154,783.8,761.6,-0.9,有效
155,317.4,295.9,-4.3,有效
156,710.8,707.8,4.3,有效
157,665.4,666.3,7.3,有效
158,383.9,358.4,3.8,有效
159,231.9,233.1,8.4,有效
160,524.0,555.1,-6.9,有效
161,634.7,648.9,1.8,有效
162,377.2,399.6,-5.0,有效
163,586.1,625.1,-5.5,有效
164,817.0,851.3,9.4,有效
165,344.2,349.1,-9.6,有效
166,477.9,492.7,3.2,有效
167,470.0,502.5,5.4,有效
168,735.8,720.7,-6.3,有效
169,587.2,625.8,-4.2,有效
170,396.3,368.7,-0.3,有效
171,404.6,446.2,9.2,有效
172,946.7,974.0,2.6,有效
173,406.6,383.9,-8.1,有效
174,586.9,602.4,4.9,有效
175,357.7,381.9,7.0,有效
176,368.0,336.4,-0.5,有效
177,418.2,440.3,8.9,有效
178,217.2,221.1,5.9,有效
179,523.7,515.3,-4.0,有效
180,559.4,554.6,-4.1,有效
181,332.4,374.3,-9.7,有效
182,574.6,596.9,-6.9,有效
183,729.5,700.8,-4.6,有效
184,365.7,401.8,-8.1,有效
185,493.3,528.0,-3.9,有效
186,337.8,304.8,-8.2,有效
187,776.0,811.8,3.6,有效
188,278.5,246.6,-8.1,有效
189,669.1,650.3,-1.2,有效
190,549.8,522.7,-4.1,有效
191,72.0,35.4,1.7,有效
192,314.1,358.1,7.6,有效
193,590.0,577.0,4.6,有效
194,14.1,42.6,2.6,有效
195,493.2,446.7,3.0,有效
196,385.1,393.1,5.7,有效
197,457.7,504.2,-5.5,有效
198,172.8,147.2,-2.8,有效
199,787.7,748.6,2.3,有效
200,739.7,692.0,3.2,有效
201,540.2,575.5,8.4,有效
202,522.9,483.3,5.3,有效
203,927.6,923.3,7.8,有效
204,70.0,73.7,4.8,有效
205,221.9,263.8,-7.0,有效
206,690.4,663.3,-0.3,有效
207,473.1,436.2,5.2,有效
208,306.5,258.1,0.7,有效
209,913.4,916.7,7.2,有效
210,501.9,482.2,7.0,有效
211,388.9,369.6,-9.8,有效
212,620.4,668.1,-6.4,有效
213,626.4,579.6,-7.1,有效
214,194.4,164.8,-4.7,有效
215,562.4,579.6,-8.8,有效
216,456.5,433.2,5.2,有效
217,338.3,384.8,-4.2,有效
218,337.4,382.5,-9.9,有效
219,393.2,421.7,-2.4,有效
220,406.6,403.7,5.1,有效
221,557.1,582.9,-6.0,有效
222,404.6,411.2,-9.7,有效
223,665.2,702.3,1.9,有效
224,675.5,656.7,-7.7,有效
225,805.7,822.3,7.8,有效
226,604.6,598.6,-7.2,有效
227,567.1,570.0,1.4,有效
228,111.0,67.4,-9.6,有效
229,332.1,299.1,2.8,有效
230,827.8,827.4,4.2,有效
231,742.5,741.2,9.2,有效
232,429.7,439.5,8.3,有效
233,206.2,183.0,-3.3,有效
234,349.0,323.0,7.5,有效
235,506.4,507.3,-3.3,有效
236,532.9,536.6,3.3,有效
237,680.8,656.4,2.6,有效
238,515.9,485.2,-4.2,有效
239,366.8,317.2,-8.4,有效
240,500.3,547.7,6.1,有效
241,478.6,519.5,7.8,有效
242,395.9,412.6,-1.1,有效
243,520.7,533.7,-5.5,有效
244,388.5,339.9,-7.3,有效
245,476.0,495.0,-8.2,有效
246,416.2,425.9,5.3,有效
247,488.6,439.7,8.2,有效
248,158.8,137.1,2.1,有效
249,506.4,505.1,9.4,有效
250,637.1,595.7,0.3,有效
251,533.6,568.6,-6.5,有效
252,348.7,351.1,9.6,有效
253,640.8,663.8,-3.7,有效
254,446.7,465.0,4.2,有效
255,457.3,460.6,3.0,有效
256,711.6,689.5,-4.4,有效
257,820.7,812.7,-5.7,有效
258,157.2,145.7,0.4,有效
259,432.5,386.6,1.1,有效
260,397.8,386.9,-2.6,有效
261,539.3,537.5,-8.5,有效
262,690.7,643.7,-9.6,有效
263,637.1,683.5,1.7,有效
264,138.6,132.0,4.5,有效
265,521.2,555.3,-7.5,有效
266,746.5,734.7,-5.5,有效
267,689.2,687.8,6.2,有效
268,376.6,355.7,-6.1,有效
269,101.2,133.1,0.3,有效
270,362.0,386.3,-8.8,有效
271,126.5,155.3,-4.9,有效
272,505.3,519.7,0.4,有效
273,356.3,322.8,8.7,有效
274,384.8,403.7,7.3,有效
275,541.0,555.7,3.2,有效
276,518.8,495.6,-7.7,有效
277,283.8,322.7,6.8,有效
278,416.1,393.2,7.5,有效
279,573.3,552.4,-8.4,有效
280,201.6,210.4,-0.6,有效
281,466.7,483.7,5.5,有效
282,683.7,699.5,-5.8,有效
283,256.6,211.4,-10.0,有效
284,438.5,459.0,-1.0,有效
285,321.4,290.0,2.1,有效
286,375.4,413.1,-7.9,有效
287,576.1,542.6,6.6,有效
288,718.7,761.8,6.9,有效
289,80.2,52.9,-7.0,有效
290,512.9,475.8,5.8,有效
291,208.7,251.0,9.7,有效
292,566.1,607.3,9.9,有效
293,505.6,462.5,-0.1,有效
294,360.6,369.6,-6.2,有效
295,423.0,472.8,-0.8,有效
296,274.5,319.1,7.0,有效
297,623.1,589.5,2.8,有效
298,436.4,444.1,-8.8,有效
299,757.0,737.5,1.9,有效
300,155.7,131.2,6.5,有效
301,377.9,387.4,9.5,有效
302,470.9,508.2,2.0,有效
303,653.0,606.8,-7.9,有效
304,453.4,447.7,-7.3,有效
305,657.4,682.4,6.5,有效
306,609.0,562.8,4.0,有效
307,428.6,406.6,4.8,有效
308,265.6,276.1,4.4,有效
309,316.1,364.7,5.9,有效
310,565.0,519.2,4.9,有效
311,450.7,481.5,4.4,有效
312,631.1,616.8,-2.0,有效
313,444.8,422.4,-8.0,有效
314,587.6,634.6,6.3,有效
315,334.5,334.0,-5.7,有效
316,134.9,87.9,3.8,有效
317,141.1,104.8,3.3,有效
318,518.1,508.5,6.2,有效
319,159.2,120.0,-0.7,有效
320,630.1,639.3,-5.5,有效
321,260.5,256.6,7.7,有效
322,512.9,528.4,6.3,有效
323,565.6,546.9,9.7,有效
324,579.6,554.1,-7.0,有效
325,388.7,409.6,6.2,有效
326,479.5,469.7,-2.7,有效
327,60.5,27.5,2.1,有效
328,509.3,556.1,8.2,有效
329,430.8,444.1,4.6,有效
330,868.1,853.8,-7.4,有效
331,723.8,740.0,-4.4,有效
332,112.7,155.1,3.9,有效
333,389.4,439.1,9.6,有效
334,594.7,616.6,7.6,有效
335,478.5,520.5,-5.0,有效
336,399.2,414.6,-5.3,有效
337,423.4,432.7,-1.9,有效
338,632.1,642.3,-6.2,有效
339,686.6,659.0,-2.1,有效
340,589.3,555.3,-8.7,有效
341,227.3,226.1,-9.3,有效
342,134.3,132.4,-2.5,有效
343,491.4,478.1,-5.7,有效
344,916.7,886.2,3.2,有效
345,231.6,229.5,7.8,有效
346,533.5,578.6,7.9,有效
347,451.8,416.3,-6.8,有效
348,599.4,561.9,-5.1,有效
349,511.4,552.6,8.2,有效
350,810.3,801.2,5.7,有效
351,55.7,75.1,-0.1,有效
352,587.1,617.8,-8.5,有效
353,130.3,164.4,-0.5,有效
354,994.2,960.6,6.0,有效
355,446.9,440.2,9.7,有效
356,124.8,117.5,-3.5,有效
357,310.4,349.1,4.2,有效
358,486.9,493.8,-9.4,有效
359,502.7,478.6,5.9,有效
360,454.5,492.8,-5.8,有效
361,382.5,384.4,-6.8,有效
362,588.1,542.7,-5.9,有效
363,568.5,570.7,0.5,有效
364,580.8,570.8,8.3,有效
365,577.1,589.0,-9.3,有效
366,583.3,587.8,1.5,有效
367,528.5,574.8,2.9,有效
368,576.6,542.9,8.6,有效
369,511.7,482.1,2.3,有效
370,363.1,374.5,-3.2,有效
371,397.1,363.7,-8.0,有效
372,571.2,532.6,7.1,有效
373,622.5,606.2,8.1,有效
374,728.4,777.2,0.6,有效
375,568.2,537.6,7.9,有效
376,604.7,570.5,-1.4,有效
377,579.9,606.6,7.7,有效
378,480.4,443.4,-6.1,有效
379,704.5,700.0,3.5,有效
380,427.6,470.3,-5.9,有效
381,490.0,494.7,8.6,有效
382,165.7,132.6,-8.0,有效
383,448.1,423.3,-2.4,有效
384,855.7,830.3,8.7,有效
385,469.6,508.6,7.7,有效
386,692.3,675.8,-4.6,有效
387,560.4,590.9,-1.6,有效
388,380.6,425.0,-1.0,有效
389,808.7,810.4,-6.2,有效
390,498.0,502.0,6.4,有效
391,447.7,485.9,8.0,有效
392,481.7,499.7,-1.5,有效
393,645.4,646.8,1.8,有效
394,480.1,459.5,5.4,有效
395,536.5,529.6,-7.1,有效
396,379.0,375.2,-1.1,有效
397,494.2,494.6,-4.7,有效
398,294.4,316.5,-9.6,有效
399,482.9,529.8,7.0,有效
400,275.0,308.4,1.2,有效
401,195.6,154.8,-5.0,有效
402,161.7,169.3,5.2,有效
403,345.7,333.5,0.4,有效
404,807.8,833.6,-9.5,有效
405,580.7,535.0,-5.8,有效
406,461.2,480.8,1.0,有效
407,795.7,786.6,2.6,有效
408,678.6,702.9,8.2,有效
409,461.0,464.4,5.8,有效
410,610.7,634.3,-1.4,有效
411,503.7,471.2,-4.4,有效
412,466.2,505.1,-5.6,有效
413,477.8,432.1,6.8,有效
414,571.8,619.4,-4.3,有效
415,630.0,679.9,-6.0,有效
416,596.2,637.9,3.0,有效
417,193.9,145.4,5.6,有效
418,509.7,532.5,0.4,有效
419,596.3,574.4,-9.3,有效
420,854.0,857.7,-8.6,有效
421,388.1,426.2,7.0,有效
422,750.7,797.6,6.6,有效
423,298.6,292.0,4.6,有效
424,528.4,518.7,-9.5,有效
425,517.6,565.2,3.9,有效
426,419.5,403.1,-4.8,有效
427,638.7,600.5,5.4,有效
428,145.9,156.8,-0.4,有效
429,495.7,541.8,3.5,有效
430,287.8,309.6,3.3,有效
431,572.6,551.2,6.0,有效
432,615.6,608.7,2.6,有效
433,563.7,537.1,3.6,有效
434,46.4,40.1,-1.3,有效
435,352.5,385.5,4.4,有效
436,739.8,746.8,3.4,有效
437,511.4,531.0,-5.5,有效
438,330.2,349.9,-9.5,有效
439,190.3,210.2,-5.5,有效
440,335.0,346.7,-5.7,有效
441,535.3,581.9,1.6,有效
442,383.0,372.6,-3.7,有效
443,503.3,536.3,5.6,有效
444,243.6,264.1,3.1,有效
445,430.5,453.1,-6.1,有效
446,436.7,469.0,-2.8,有效
447,128.6,169.5,-7.0,有效
448,505.5,471.5,3.8,有效
449,654.2,619.5,8.1,有效
450,589.2,607.7,-5.2,有效
451,431.2,418.1,-3.3,有效
452,254.9,258.2,-0.3,有效
453,809.4,763.6,-4.7,有效
454,715.4,666.4,0.9,有效
455,277.0,287.8,-0.7,有效
456,495.6,507.3,0.9,有效
457,297.6,327.7,-8.7,有效
458,227.3,269.7,-6.6,有效
459,547.1,541.8,1.4,有效
460,445.5,485.6,8.8,有效
461,643.6,601.9,0.6,有效
462,547.0,592.6,-5.2,有效
463,578.3,592.7,-7.9,有效
464,780.0,790.9,-8.6,有效
465,896.7,904.5,-8.9,有效
466,440.5,397.2,-7.4,有效
467,511.5,466.4,2.0,有效
468,265.3,244.5,-6.7,有效
469,261.8,268.6,-8.3,有效
470,346.1,320.2,-7.0,有效
471,573.1,524.2,1.6,有效
472,380.9,399.5,-0.5,有效
473,738.5,696.2,1.6,有效
474,337.6,334.4,0.8,有效
475,699.1,707.5,1.1,有效
476,364.6,335.6,-3.9,有效
477,827.1,781.4,-6.1,有效
478,624.1,581.1,-1.8,有效
479,623.3,628.3,-8.3,有效
480,430.6,453.9,-6.3,有效
481,501.5,485.2,1.6,有效
482,723.0,678.8,-9.8,有效
483,514.2,535.3,0.0,有效
484,461.1,422.7,-5.1,有效
485,477.0,491.1,-6.2,有效
486,281.2,295.7,-0.7,有效
487,594.5,581.4,-0.2,有效
488,398.9,365.3,8.5,有效
489,445.4,464.9,0.9,有效
490,169.9,191.9,-0.7,有效
491,822.6,857.4,4.8,有效
492,217.1,198.1,0.8,有效
493,933.8,897.5,7.8,有效
494,431.8,449.3,-7.6,有效
495,618.4,651.1,-3.7,有效
496,345.7,319.9,-0.5,有效
497,841.4,807.3,7.4,有效
498,708.3,729.4,5.3,有效
499,786.9,805.1,-2.4,有效
500,374.6,411.0,3.5,有效
501,617.2,646.7,-7.7,有效
502,317.7,285.7,-5.5,有效
503,552.8,551.0,1.7,有效
504,293.1,251.6,-2.6,有效
505,531.0,506.5,-2.3,有效
506,377.5,334.4,-8.3,有效
507,732.2,772.6,0.4,有效
508,158.5,132.9,3.5,有效
509,445.3,491.7,9.3,有效
510,395.0,390.6,8.6,有效
511,527.5,564.0,7.4,有效
512,588.6,629.1,7.4,有效
513,422.0,383.0,6.4,有效
514,547.4,508.4,0.7,有效
515,553.9,524.2,3.6,有效
516,351.4,325.1,-8.6,有效
517,627.7,672.9,-2.1,有效
518,737.2,725.6,-1.5,有效
519,414.9,454.0,-4.5,有效
520,269.4,318.5,-3.5,有效
521,203.6,191.9,5.2,有效
522,708.9,662.9,-5.6,有效
523,477.6,511.0,4.4,有效
524,389.8,397.5,-2.7,有效
525,688.9,729.1,-3.1,有效
526,604.7,560.9,0.0,有效
527,537.2,565.0,-8.4,有效
528,300.4,344.5,-0.0,有效
529,316.7,318.0,2.8,有效
530,745.1,745.0,-7.4,有效
531,624.7,613.8,-9.2,有效
532,918.4,879.3,5.7,有效
533,127.7,152.6,-5.8,有效
534,380.4,364.2,0.3,有效
535,278.6,248.8,-6.0,有效
536,342.2,355.1,-0.1,有效
537,301.6,278.9,6.9,有效
538,375.6,370.4,0.5,有效
539,547.9,509.4,-5.8,有效
540,518.0,504.4,-4.4,有效
541,600.9,586.0,6.3,有效
542,348.1,363.6,-9.9,有效
543,17.2,63.7,-2.3,有效
544,783.4,775.5,-2.6,有效
545,291.8,275.0,2.4,有效
546,690.3,679.2,-1.4,有效
547,502.2,466.1,8.3,有效
548,413.3,363.8,-8.2,有效
549,649.8,640.7,-5.8,有效
550,790.8,779.1,3.7,有效
551,357.7,383.3,-1.6,有效
552,196.5,192.3,-0.6,有效
553,660.7,666.9,-2.5,有效
554,461.5,486.3,3.2,有效
555,131.6,134.1,2.8,有效
556,728.0,694.1,-6.6,有效
557,452.5,410.5,-3.4,有效
558,446.2,470.7,5.5,有效
559,306.3,339.0,7.4,有效
560,300.2,349.1,-1.1,有效
561,700.0,712.5,-7.7,有效
562,466.0,443.2,-5.2,有效
563,482.5,477.6,4.3,有效
564,528.8,487.5,-7.2,有效
565,795.0,771.9,-1.9,有效
566,564.3,535.5,-9.7,有效
567,353.4,389.0,-5.0,有效
568,282.6,283.4,-4.3,有效
569,619.9,577.7,-5.8,有效
570,417.1,454.4,-8.0,有效
571,145.3,162.0,-6.0,有效
572,414.0,382.7,-7.5,有效
573,487.7,535.6,5.9,有效
574,649.1,649.2,1.5,有效
575,340.0,390.0,4.1,有效
576,500.5,471.2,-6.2,有效
577,698.6,739.8,-7.1,有效
578,527.8,568.7,-5.2,有效
579,585.3,560.6,9.0,有效
580,299.6,318.3,-4.4,有效
581,450.1,420.4,-3.8,有效
582,425.6,378.9,0.1,有效
583,645.8,690.4,6.9,有效
584,425.1,389.7,-0.3,有效
585,496.4,491.0,-7.0,有效
586,255.6,284.0,5.3,有效
587,797.8,751.9,-3.7,有效
588,469.3,440.6,1.5,有效
589,410.8,385.6,-2.6,有效
590,662.4,705.8,1.3,有效
591,432.0,383.0,6.6,有效
592,427.2,410.6,4.5,有效
593,380.1,368.8,-7.4,有效
594,430.5,405.2,3.1,有效
595,486.0,469.2,-6.1,有效
596,527.9,575.3,5.8,有效
597,403.9,373.8,8.7,有效
598,87.7,126.0,-0.3,有效
599,534.7,503.2,-8.6,有效
600,844.6,812.3,0.4,有效
601,643.9,618.6,-1.7,有效
602,422.9,419.8,2.1,有效
603,631.1,648.2,6.3,有效
604,307.5,332.9,-6.8,有效
605,384.8,397.4,-9.5,有效
606,633.2,620.8,-6.1,有效
607,528.4,512.5,4.2,有效
608,913.4,879.6,-1.9,有效
609,394.5,387.7,5.6,有效
610,582.2,625.9,-7.1,有效
611,805.2,793.2,-7.3,有效
612,103.3,114.9,9.4,有效
613,786.7,742.2,7.8,有效
614,248.9,214.6,9.5,有效
615,310.2,271.8,9.7,有效
616,516.7,485.6,3.4,有效
617,709.7,726.1,9.5,有效
618,669.9,636.1,-0.1,有效
619,474.5,497.3,-6.4,有效
620,538.3,528.3,-4.9,有效
621,299.7,314.3,-1.2,有效
622,132.2,104.6,-4.3,有效
623,451.2,469.4,3.8,有效
624,59.9,18.2,-8.8,有效
625,423.0,411.4,6.2,有效
626,590.9,589.3,1.6,有效
627,139.0,118.6,9.5,有效
628,653.6,692.4,-8.4,有效
629,545.2,528.4,-2.4,有效
630,516.3,552.0,1.1,有效
631,419.3,428.9,-0.5,有效
632,194.2,223.6,6.9,有效
633,353.5,348.5,2.1,有效
634,420.0,386.5,6.3,有效
635,692.9,678.7,3.9,有效
636,406.8,409.6,-6.9,有效
637,436.4,387.9,8.2,有效
638,623.7,640.3,-5.2,有效
639,556.3,547.8,3.3,有效
640,534.1,539.1,-3.4,有效
641,415.4,390.7,4.5,有效
642,445.8,480.0,5.6,有效
643,770.5,749.6,5.5,有效
644,409.6,387.7,4.2,有效
645,69.4,41.5,8.2,有效
646,392.4,395.0,-2.0,有效
647,577.3,593.5,9.2,有效
648,366.9,353.3,-3.8,有效
649,406.4,438.3,2.3,有效
650,572.7,586.1,-8.4,有效
651,824.2,776.2,5.5,有效
652,795.9,835.7,7.4,有效
653,353.4,369.9,1.8,有效
654,388.6,404.9,-9.3,有效
655,231.7,213.2,-2.5,有效
656,604.6,651.6,5.6,有效
657,446.7,414.9,1.4,有效
658,471.9,501.0,4.0,有效
659,245.2,284.3,5.8,有效
660,342.0,375.7,-0.5,有效
661,733.6,780.9,-4.0,有效
662,501.4,456.7,7.5,有效
663,459.7,472.1,-8.4,有效
664,141.7,119.2,5.2,有效
665,232.1,255.3,6.6,有效
666,626.2,633.7,-7.6,有效
667,63.1,23.7,-7.6,有效
668,778.0,783.2,-6.8,有效
669,321.9,342.6,8.3,有效
670,328.5,318.4,-5.4,有效
671,378.2,356.9,-2.7,有效
672,45.9,78.2,-6.8,有效
673,489.4,499.1,8.9,有效
674,354.8,378.3,-5.7,有效
675,259.5,235.7,9.8,有效
676,785.9,827.1,-3.4,有效
677,636.6,627.8,4.0,有效
678,191.6,168.6,6.7,有效
679,60.0,18.2,-8.7,有效
680,585.2,573.0,-1.5,有效
681,241.3,273.3,4.7,有效
682,204.2,251.6,-0.1,有效
683,495.2,467.8,-6.1,有效
684,606.0,619.5,-4.9,有效
685,170.1,148.1,-7.3,有效
686,514.2,561.4,-7.7,有效
687,699.9,664.8,5.4,有效
688,222.8,266.7,2.4,有效
689,370.3,361.0,-8.8,有效
690,198.1,151.5,-4.5,有效
691,570.2,520.7,-0.1,有效
692,656.4,681.7,5.0,有效
693,121.4,91.1,6.7,有效
694,621.4,666.5,-9.9,有效
695,367.6,385.7,-2.4,有效
696,463.1,454.7,-8.7,有效
697,685.7,715.5,-6.1,有效
698,684.6,671.2,5.5,有效
699,416.9,422.7,-4.2,有效
700,528.7,509.1,3.3,有效
701,540.6,568.3,-1.7,有效
702,520.4,523.4,-6.2,有效
703,523.9,548.6,-7.7,有效
704,591.4,622.5,-6.2,有效
705,198.1,247.0,-7.2,有效
706,606.0,623.7,-0.3,有效
707,489.9,505.9,-5.1,有效
708,437.2,423.2,9.7,有效
709,694.6,698.2,-9.1,有效
710,820.1,783.6,-3.5,有效
711,648.8,625.9,8.3,有效
712,315.5,354.5,8.2,有效
713,696.5,658.1,-1.8,有效
714,245.5,263.8,3.3,有效
715,973.2,1000.0,-6.7,有效
716,353.2,394.5,5.8,有效
